,CBS_Class,CBS_MY_Order,CBS_MY_Rate,CBS_XS_MY,CBS_DXPZ,CBS_XSCS,CBS_CRTAX,Book_Class,CBS_BK_Average_price,CBS_BK_MY_Order,CBS_BK_MY_Rate,CBS_BK_XS_MY,CBS_BK_DXPZ,CBS_BK_XSCS,FXS_Class,User_Area,User_Get_Price,FXS_Discount,FXS_BK_MY_Order,FXS_BK_MY_Rate,FXS_BK_MY,FXS_BK_DXPZ,FXS_BK_XSCS,FXS_BK_Average_Price
30,1,11,1.0934,90678033.8,2921,2357742,0.08,5,32.51,258,0.0091,62841.0,8,1933,5,4,9.0,0.585,213,0.0026,600.0,2,19,31.58
31,1,11,1.0934,90678033.8,2921,2357742,0.07,3,47.25,3,2.5524,34804581.6,486,736560,5,4,9.0,0.585,3,3.4064,420438.2,233,8492,49.51
32,1,11,1.0934,90678033.8,2921,2357742,0.08,7,60.7,191,0.0247,209492.8,24,3451,5,4,9.0,0.585,174,0.0137,1582.0,7,25,63.28
33,1,11,1.0934,90678033.8,2921,2357742,0.07,2,25.73,87,0.2087,2502441.2,206,97266,5,4,9.0,0.585,89,0.1206,20910.0,124,783,26.7
34,1,11,1.0934,90678033.8,2921,2357742,0.07,4,37.07,45,0.6152,3343565.7,205,90184,5,4,9.0,0.585,31,0.8277,36026.0,107,1114,32.34
35,1,13,1.1056,92717381.2,3446,2305380,0.07,1,38.38,2,3.5286,56642882.8,2309,1476011,3,2,9.0,0.585,2,3.784,15511269.7,2074,393807,39.39
36,1,13,1.1056,92717381.2,3446,2305380,0.08,5,33.1,335,0.0028,19496.0,6,589,3,2,9.0,0.585,342,0.0025,3677.0,5,114,32.25
37,1,13,1.1056,92717381.2,3446,2305380,0.07,3,44.39,7,2.1686,31786961.8,618,716145,3,2,9.0,0.585,5,2.543,8908803.0,574,204101,43.65
38,1,13,1.1056,92717381.2,3446,2305380,0.08,7,62.69,133,0.0509,387112.8,46,6175,3,2,9.0,0.585,143,0.0454,100341.8,43,1666,60.23
39,1,13,1.1056,92717381.2,3446,2305380,0.07,2,26.23,126,0.0927,1186728.8,231,45243,3,2,9.0,0.585,88,0.1639,372869.0,215,13885,26.85
40,1,13,1.1056,92717381.2,3446,2305380,0.07,4,44.14,53,0.4941,2659787.0,230,60256,3,2,9.0,0.585,50,0.5133,679793.0,213,16218,41.92
41,1,13,1.1056,92717381.2,3446,2305380,0.07,8,35.96,25,0.3185,34160.0,2,950,3,2,9.0,0.585,25,0.2803,8696.0,2,242,35.93
42,1,13,1.1056,92717381.2,3446,2305380,0.07,1,38.38,2,3.5286,56642882.8,2309,1476011,4,3,9.0,0.585,2,3.38,9919009.2,1546,263423,37.65
43,1,13,1.1056,92717381.2,3446,2305380,0.08,5,33.1,335,0.0028,19496.0,6,589,4,3,9.0,0.585,297,0.0035,4127.0,3,125,33.02
44,1,13,1.1056,92717381.2,3446,2305380,0.07,3,44.39,7,2.1686,31786961.8,618,716145,4,3,9.0,0.585,8,2.2135,6076372.4,437,136085,44.65
45,1,13,1.1056,92717381.2,3446,2305380,0.08,7,62.69,133,0.0509,387112.8,46,6175,4,3,9.0,0.585,134,0.0411,63726.0,31,1051,60.63
46,1,13,1.1056,92717381.2,3446,2305380,0.07,2,26.23,126,0.0927,1186728.8,231,45243,4,3,9.0,0.585,108,0.1123,255743.6,154,10097,25.33
47,1,13,1.1056,92717381.2,3446,2305380,0.07,4,44.14,53,0.4941,2659787.0,230,60256,4,3,9.0,0.585,55,0.4748,484379.9,193,12079,40.1
48,1,13,1.1056,92717381.2,3446,2305380,0.07,8,35.96,25,0.3185,34160.0,2,950,4,3,9.0,0.585,10,0.8319,11160.0,1,310,36.0
49,1,13,1.1056,92717381.2,3446,2305380,0.07,1,38.38,2,3.5286,56642882.8,2309,1476011,2,1,9.0,0.585,4,2.4862,7346530.4,1606,202465,36.29
50,1,13,1.1056,92717381.2,3446,2305380,0.08,5,33.1,335,0.0028,19496.0,6,589,2,1,9.0,0.585,337,0.0019,3073.0,3,94,32.69
51,1,13,1.1056,92717381.2,3446,2305380,0.07,3,44.39,7,2.1686,31786961.8,618,716145,2,1,9.0,0.585,11,1.6388,4721781.8,463,102489,46.07
52,1,13,1.1056,92717381.2,3446,2305380,0.08,7,62.69,133,0.0509,387112.8,46,6175,2,1,9.0,0.585,162,0.0348,52065.0,28,998,52.17
53,1,13,1.1056,92717381.2,3446,2305380,0.07,2,26.23,126,0.0927,1186728.8,231,45243,2,1,9.0,0.585,160,0.0556,151974.4,178,6219,24.44
54,1,13,1.1056,92717381.2,3446,2305380,0.07,4,44.14,53,0.4941,2659787.0,230,60256,2,1,9.0,0.585,70,0.3332,333660.2,181,8666,38.5
55,1,13,1.1056,92717381.2,3446,2305380,0.07,8,35.96,25,0.3185,34160.0,2,950,2,1,9.0,0.585,24,0.2832,5248.0,2,146,35.95
56,1,13,1.1056,92717381.2,3446,2305380,0.07,1,38.38,2,3.5286,56642882.8,2309,1476011,1,1,9.0,0.585,4,2.8339,13497653.3,1831,362414,37.24
57,1,13,1.1056,92717381.2,3446,2305380,0.07,6,22.91,508,0.0,252.0,4,11,1,1,9.0,0.585,494,0.0,234.0,4,10,23.4
58,1,13,1.1056,92717381.2,3446,2305380,0.08,5,33.1,335,0.0028,19496.0,6,589,1,1,9.0,0.585,320,0.0024,5348.0,4,163,32.81
59,1,13,1.1056,92717381.2,3446,2305380,0.07,3,44.39,7,2.1686,31786961.8,618,716145,1,1,9.0,0.585,8,1.9181,8204737.0,505,184767,44.41
60,1,13,1.1056,92717381.2,3446,2305380,0.08,7,62.69,133,0.0509,387112.8,46,6175,1,1,9.0,0.585,139,0.0501,94469.0,32,1539,61.38
61,1,13,1.1056,92717381.2,3446,2305380,0.07,2,26.23,126,0.0927,1186728.8,231,45243,1,1,9.0,0.585,161,0.0565,265959.0,192,10092,26.35
62,1,13,1.1056,92717381.2,3446,2305380,0.07,4,44.14,53,0.4941,2659787.0,230,60256,1,1,9.0,0.585,65,0.3643,598436.8,212,14273,41.93
63,1,13,1.1056,92717381.2,3446,2305380,0.07,8,35.96,25,0.3185,34160.0,2,950,1,1,9.0,0.585,23,0.2247,8084.0,2,225,35.93
64,1,13,1.1056,92717381.2,3446,2305380,0.07,1,38.38,2,3.5286,56642882.8,2309,1476011,5,4,9.0,0.585,1,13.2653,7449785.3,1069,173757,42.87
65,1,13,1.1056,92717381.2,3446,2305380,0.08,5,33.1,335,0.0028,19496.0,6,589,5,4,9.0,0.585,335,0.0003,58.0,1,2,29.0
66,1,13,1.1056,92717381.2,3446,2305380,0.07,3,44.39,7,2.1686,31786961.8,618,716145,5,4,9.0,0.585,2,3.9901,2333012.6,328,51174,45.59
67,1,13,1.1056,92717381.2,3446,2305380,0.08,7,62.69,133,0.0509,387112.8,46,6175,5,4,9.0,0.585,29,0.6613,66338.0,22,753,88.1
68,1,13,1.1056,92717381.2,3446,2305380,0.07,2,26.23,126,0.0927,1186728.8,231,45243,5,4,9.0,0.585,80,0.1453,39365.0,126,1134,34.71
69,1,13,1.1056,92717381.2,3446,2305380,0.07,4,44.14,53,0.4941,2659787.0,230,60256,5,4,9.0,0.585,6,3.1073,409537.3,118,5108,80.18
70,1,13,1.1056,92717381.2,3446,2305380,0.07,8,35.96,25,0.3185,34160.0,2,950,5,4,9.0,0.585,17,0.0743,324.0,1,9,36.0
71,1,18,1.1388,94573733.0,3525,2243297,0.07,1,43.05,2,4.096,61985010.1,2285,1439682,3,2,9.0,0.585,2,4.586,17377553.3,1999,390036,44.55
72,1,18,1.1388,94573733.0,3525,2243297,0.08,5,33.71,406,0.0007,4719.0,4,140,3,2,9.0,0.585,375,0.0012,1667.0,4,49,34.02
73,1,18,1.1388,94573733.0,3525,2243297,0.07,3,39.8,10,1.8555,27048860.7,691,679588,3,2,9.0,0.585,7,2.2222,7589318.0,621,191027,39.73
74,1,18,1.1388,94573733.0,3525,2243297,0.08,7,52.28,46,0.3203,2122244.4,54,40590,3,2,9.0,0.585,49,0.3217,622551.2,51,12386,50.26
75,1,18,1.1388,94573733.0,3525,2243297,0.07,2,34.26,124,0.0898,1235339.0,232,36053,3,2,9.0,0.585,101,0.1338,334492.8,185,10253,32.62
76,1,18,1.1388,94573733.0,3525,2243297,0.07,4,46.33,58,0.4259,2140406.2,253,46198,3,2,9.0,0.585,57,0.4535,569224.1,233,12639,45.04
77,1,18,1.1388,94573733.0,3525,2243297,0.07,8,35.97,25,0.4022,36868.0,2,1025,3,2,9.0,0.585,26,0.3448,8964.0,1,249,36.0
78,1,18,1.1388,94573733.0,3525,2243297,0.07,1,43.05,2,4.096,61985010.1,2285,1439682,4,3,9.0,0.585,2,3.7134,11259382.8,1756,262249,42.93
